,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
300,Yale,Ivy,29,22,109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36.0,32.7,66.8,-0.1,R32,12.0,2016
301,Northern Iowa,MVC,35,22,109.7,96.7,0.8109,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,63.7,-2.1,R32,11.0,2016
302,Wichita St.,MVC,34,25,110.3,87.8,0.9321,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,R32,11.0,2016
303,Utah,P12,35,26,115.8,97.3,0.8807,55.1,48.0,18.2,15.3,29.2,27.8,37.9,23.0,55.5,44.5,36.3,37.1,66.9,5.6,R32,3.0,2016
304,Arkansas Little Rock,SB,33,28,107.6,96.7,0.7732,51.9,45.9,15.6,21.0,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2.1,R32,12.0,2016
305,Kentucky,SEC,36,27,123.2,95.1,0.9517,53.5,44.5,16.2,18.0,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,5.0,R32,4.0,2016
306,Stephen F. Austin,Slnd,30,24,110.3,96.5,0.8235,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,68.2,-1.2,R32,14.0,2016
307,Dayton,A10,33,25,105.5,92.6,0.8184,51.6,46.9,18.6,18.0,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,68.5,2.4,R64,7.0,2016
308,Pittsburgh,ACC,32,20,113.9,96.9,0.8659,51.1,50.0,17.5,16.9,36.9,27.5,36.1,32.4,50.4,48.4,35.0,35.4,66.3,1.8,R64,10.0,2016
309,Stony Brook,AE,31,24,104.6,99.2,0.648,52.2,47.6,17.3,18.4,34.8,26.0,32.2,27.6,50.7,45.8,37.2,34.1,67.8,-1.1,R64,13.0,2016
310,Cincinnati,Amer,33,22,110.0,93.5,0.866,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27.0,47.7,41.3,34.8,35.7,66.0,0.3,R64,9.0,2016
311,Temple,Amer,33,21,106.3,97.4,0.7318,47.0,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,66.5,-0.1,R64,10.0,2016
312,Florida Gulf Coast,ASun,31,17,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68.0,-8.4,R64,16.0,2016
313,Michigan,B10,35,22,113.4,99.4,0.82,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27.0,52.6,51.1,38.0,34.7,66.3,0.8,R64,11.0,2016
314,Michigan St.,B10,35,29,122.5,96.0,0.9428,56.3,43.3,17.6,14.2,37.1,24.3,30.0,34.1,51.4,41.7,43.4,31.0,67.6,7.2,R64,2.0,2016
315,Purdue,B10,35,26,117.2,93.4,0.9316,53.6,44.3,17.7,13.7,35.0,23.4,35.4,28.1,52.8,42.9,36.7,31.4,68.9,4.4,R64,5.0,2016
316,Baylor,B12,33,21,119.3,99.2,0.8924,51.6,51.2,18.6,19.8,40.0,28.8,38.6,38.6,49.8,49.1,37.4,36.9,67.4,3.5,R64,5.0,2016
317,Texas,B12,33,20,112.2,95.6,0.8627,49.4,47.7,15.4,18.5,30.7,32.0,39.5,38.4,48.5,45.8,34.1,34.5,66.3,3.2,R64,6.0,2016
318,Texas Tech,B12,32,19,113.1,98.9,0.8227,50.0,49.6,17.8,19.0,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,67.2,1.3,R64,8.0,2016
319,West Virginia,B12,35,26,114.8,90.4,0.9396,49.8,48.4,20.0,25.0,42.0,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,7.4,R64,3.0,2016
320,Seton Hall,BE,34,25,110.8,91.4,0.9014,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,48.8,44.3,34.7,31.7,70.4,5.3,R64,6.0,2016
321,Weber St.,BSky,32,23,101.7,99.5,0.5599,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,-3.7,R64,15.0,2016
322,UNC Asheville,BSth,32,20,101.2,99.4,0.5487,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33.0,50.2,52.1,32.1,29.6,71.0,-6.3,R64,15.0,2016
323,UNC Wilmington,CAA,31,23,109.5,100.9,0.7186,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51.0,46.1,34.4,33.9,71.3,-0.7,R64,13.0,2016
324,Green Bay,Horz,34,21,106.9,104.2,0.5729,49.8,51.5,15.8,21.1,30.9,32.0,42.2,35.8,48.5,50.0,35.0,36.3,77.3,-4.5,R64,14.0,2016
325,Iona,MAAC,33,22,109.1,102.1,0.6822,53.8,48.8,17.6,19.2,29.2,31.0,32.4,36.3,52.5,46.0,37.0,35.8,72.6,-3.6,R64,13.0,2016
326,Buffalo,MAC,34,19,105.1,102.4,0.5746,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49.0,48.8,33.7,34.3,72.9,-5.8,R64,14.0,2016
327,Hampton,MEAC,31,20,98.2,107.5,0.2615,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,71.9,-6.3,R64,16.0,2016
328,Fresno St.,MWC,33,23,106.3,100.1,0.6646,48.4,48.8,15.1,21.0,30.0,29.7,37.7,46.4,47.0,48.4,34.4,33.0,69.8,-0.9,R64,14.0,2016
329,Austin Peay,OVC,34,16,103.4,109.1,0.3501,51.3,53.8,20.2,18.6,31.9,30.0,47.0,31.3,51.0,53.3,34.7,36.4,70.5,-11.3,R64,16.0,2016
330,Arizona,P12,34,25,116.1,95.7,0.9022,53.6,46.2,18.2,16.0,35.0,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,3.4,R64,6.0,2016
331,California,P12,34,23,112.4,92.8,0.9006,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,2.2,R64,4.0,2016
332,Colorado,P12,33,21,107.8,95.2,0.8072,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,0.7,R64,8.0,2016
333,Oregon St.,P12,31,18,109.9,98.1,0.7879999999999999,49.8,49.5,16.6,19.5,29.0,32.2,36.8,39.3,46.9,50.0,37.4,32.4,68.0,0.3,R64,7.0,2016
334,USC,P12,34,21,113.7,98.7,0.8352,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,72.1,0.2,R64,8.0,2016
335,Holy Cross,Pat,35,15,96.7,106.9,0.2398,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,64.6,-14.5,R64,16.0,2016
336,Chattanooga,SC,33,27,105.6,100.8,0.6286,51.7,50.5,18.0,20.2,32.3,29.0,41.6,30.9,50.7,50.5,35.6,33.7,67.3,0.4,R64,12.0,2016
337,South Dakota St.,Sum,32,24,110.5,101.1,0.737,51.3,48.0,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,69.2,-1.2,R64,12.0,2016
338,Cal St. Bakersfield,WAC,30,21,103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38.0,42.1,48.5,42.8,34.3,33.4,68.4,-3.5,R64,15.0,2016
339,Tulsa,Amer,32,20,109.5,99.6,0.7486,50.3,48.2,15.6,20.4,28.0,30.5,39.6,34.6,51.1,45.0,32.6,35.9,69.4,-1.2,R68,11.0,2016
340,Fairleigh Dickinson,NEC,32,17,103.0,115.6,0.209,51.2,52.4,17.7,21.0,28.4,35.8,33.3,46.9,49.5,52.1,36.4,35.4,72.5,-9.9,R68,16.0,2016
341,Vanderbilt,SEC,33,19,114.5,93.2,0.9148,52.9,43.1,16.8,14.2,27.2,29.3,39.8,34.4,50.1,42.6,38.2,29.4,68.7,-0.3,R68,11.0,2016
342,Southern,SWAC,32,19,98.9,106.2,0.3065,48.5,47.9,16.3,19.6,28.1,31.2,38.1,39.9,47.6,47.7,33.8,32.2,69.5,-8.1,R68,16.0,2016
343,Duke,ACC,36,25,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51.0,48.9,38.5,34.0,68.7,4.2,S16,4.0,2016
344,Miami FL,ACC,35,27,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67.0,6.9,S16,3.0,2016
345,Indiana,B10,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49.0,41.6,34.3,69.5,3.2,S16,5.0,2016
346,Maryland,B10,35,26,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37.0,27.0,55.8,45.5,36.2,32.1,67.9,4.0,S16,5.0,2016
347,Wisconsin,B10,35,22,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38.0,33.6,46.6,44.8,34.9,37.4,64.1,0.4,S16,7.0,2016
348,Iowa St.,B12,35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,S16,3.0,2016
349,Texas A&M,SEC,37,28,113.0,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,S16,3.0,2016
350,Gonzaga,WCC,35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26.0,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,S16,11.0,2016
351,Gonzaga,WCC,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,2ND,1.0,2017
352,North Carolina,ACC,39,33,121.0,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25.0,34.3,31.6,51.0,46.3,35.5,33.9,72.8,8.4,Champions,1.0,2017
353,Kansas,B12,36,31,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,E8,1.0,2017
354,Xavier,BE,38,24,115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52.0,52.5,34.5,33.4,68.4,1.6,E8,11.0,2017
355,Florida,SEC,36,27,116.6,88.9,0.9576,51.6,45.8,16.9,21.0,32.1,29.5,40.2,34.0,50.3,45.7,35.9,30.5,70.2,6.4,E8,4.0,2017
356,Kentucky,SEC,38,32,118.3,91.3,0.9517,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,9.0,E8,2.0,2017
357,Oregon,P12,38,33,117.8,93.8,0.9321,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38.0,31.2,68.4,6.0,F4,3.0,2017
358,South Carolina,SEC,36,26,108.7,89.0,0.9083,47.3,45.5,18.4,24.3,34.0,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,F4,7.0,2017
359,Davidson,A10,32,17,108.8,98.6,0.7561,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,51.9,45.8,34.1,38.1,69.7,-5.2,,,2017
360,Duquesne,A10,32,10,101.6,106.1,0.3798,48.9,49.9,20.0,17.6,29.0,30.2,37.1,33.3,48.3,47.9,33.4,35.9,71.7,-14.7,,,2017
361,Fordham,A10,31,13,96.6,98.2,0.4547,48.4,53.0,19.7,25.6,23.4,31.0,26.7,43.5,47.4,52.3,33.2,36.1,65.8,-11.8,,,2017
362,George Mason,A10,33,20,106.1,103.7,0.5669,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,48.5,48.4,34.2,32.7,70.0,-5.2,,,2017
363,George Washington,A10,35,20,107.1,103.8,0.5886,49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,45.6,48.9,37.1,35.4,67.0,-5.2,,,2017
364,La Salle,A10,30,15,109.1,107.0,0.5548,53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,52.4,51.3,36.4,39.4,69.9,-7.0,,,2017
365,Massachusetts,A10,33,15,99.6,99.5,0.501,49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,53.3,44.5,29.7,34.5,73.6,-10.1,,,2017
366,Richmond,A10,35,22,110.0,102.5,0.6922,53.9,49.9,16.2,20.0,20.7,30.7,31.6,34.6,55.6,50.9,34.2,32.1,70.1,-3.7,,,2017
367,Saint Joseph's,A10,31,11,101.6,102.6,0.4729,46.6,51.2,17.0,18.0,29.8,26.6,40.1,32.5,45.7,50.3,32.4,34.9,70.0,-10.9,,,2017
368,Saint Louis,A10,33,12,95.5,103.2,0.2891,47.0,50.6,20.3,16.9,24.2,27.3,34.4,38.5,44.3,48.9,34.2,35.6,65.2,-12.8,,,2017
369,St. Bonaventure,A10,32,20,107.2,100.4,0.6799,49.7,49.9,17.6,20.9,33.0,31.0,42.4,41.5,48.5,48.1,34.8,35.3,70.0,-4.6,,,2017
370,Boston College,ACC,32,9,104.1,101.9,0.5618,51.6,53.2,20.1,17.2,25.6,24.2,29.6,39.6,49.1,53.2,37.4,35.4,72.5,-9.8,,,2017
371,Clemson,ACC,33,17,115.3,98.9,0.8532,51.1,51.9,15.8,20.1,31.4,32.2,34.3,24.1,49.8,51.0,35.7,35.6,67.8,-0.3,,,2017
372,Georgia Tech,ACC,36,21,99.4,90.6,0.743,47.4,46.0,19.3,18.8,27.7,30.8,35.8,27.4,46.9,43.9,32.5,33.1,69.2,-2.1,,,2017
373,North Carolina St.,ACC,32,15,111.9,105.2,0.6688,52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,52.4,49.5,35.6,36.9,71.9,-4.1,,,2017
374,Pittsburgh,ACC,33,16,112.7,101.2,0.7754,51.4,51.3,17.6,14.3,28.2,29.5,39.4,26.6,49.6,50.2,36.1,35.6,67.0,-2.0,,,2017
375,Syracuse,ACC,34,19,116.2,100.6,0.84,53.5,50.3,18.0,19.7,31.6,34.5,35.1,29.2,51.3,49.6,37.9,34.3,68.2,-1.1,,,2017
376,Albany,AE,34,21,107.1,103.7,0.5911,51.7,51.2,18.3,17.5,33.0,23.6,33.4,31.4,50.3,50.7,37.1,34.7,65.5,-6.9,,,2017
377,Binghamton,AE,29,12,94.8,109.5,0.1598,48.8,52.2,18.6,17.1,23.5,28.2,30.8,32.2,47.1,51.3,34.4,35.7,67.2,-15.3,,,2017
378,Hartford,AE,32,9,92.1,109.9,0.1165,47.5,51.9,20.4,18.4,24.7,34.3,32.6,34.9,45.0,48.7,33.9,38.9,70.3,-18.1,,,2017
379,Maine,AE,31,7,90.5,109.4,0.1021,45.5,53.0,19.1,16.6,26.9,28.8,29.6,33.5,44.8,52.2,31.2,36.4,69.6,-18.8,,,2017
380,New Hampshire,AE,29,20,100.6,102.3,0.4538,50.2,49.9,18.3,14.6,27.2,21.7,34.1,29.3,49.5,50.1,34.2,32.9,66.9,-6.3,,,2017
381,Stony Brook,AE,32,18,100.0,104.7,0.3695,47.1,50.7,15.2,19.7,29.5,28.8,32.8,40.1,45.7,47.5,32.7,37.5,67.2,-8.3,,,2017
382,UMass Lowell,AE,30,11,102.9,115.4,0.2112,54.7,53.4,20.8,17.8,27.1,30.7,31.5,38.1,53.1,52.3,38.4,37.0,73.6,-15.6,,,2017
383,UMBC,AE,32,21,107.5,110.2,0.4291,54.0,52.4,16.3,17.7,24.4,27.3,35.0,35.1,51.5,52.2,38.5,35.2,72.0,-7.4,,,2017
384,Connecticut,Amer,32,16,105.6,98.3,0.6937,48.5,45.6,18.7,16.1,29.9,30.5,34.5,32.0,46.1,43.0,35.4,33.0,66.1,-5.6,,,2017
385,East Carolina,Amer,33,15,96.6,97.1,0.4843,45.8,44.7,20.8,17.0,30.7,31.1,37.4,27.2,44.5,42.6,32.0,32.5,68.3,-8.4,,,2017
386,Houston,Amer,32,22,112.8,98.1,0.8333,51.7,47.1,14.9,20.7,31.8,30.7,28.6,36.8,47.7,45.7,39.4,32.9,66.6,-0.9,,,2017
387,Memphis,Amer,32,19,105.8,100.5,0.6442,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70.0,-3.4,,,2017
388,South Florida,Amer,30,7,96.5,106.2,0.2504,47.7,51.0,23.5,19.1,30.6,34.0,30.7,40.1,45.9,45.1,34.6,39.6,70.1,-14.7,,,2017
389,Temple,Amer,32,16,107.9,102.4,0.6461,49.7,49.1,16.6,18.3,27.5,32.2,26.4,32.1,47.0,47.7,35.6,34.3,68.7,-5.8,,,2017
390,Tulane,Amer,31,6,103.3,106.5,0.4129,46.4,53.7,18.8,19.7,29.3,32.5,34.3,40.8,45.2,51.9,32.4,38.1,72.0,-15.5,,,2017
391,Tulsa,Amer,32,15,103.7,102.3,0.5395,48.9,50.4,21.8,18.4,29.5,28.3,42.8,33.1,47.2,48.2,34.3,35.9,69.6,-6.2,,,2017
392,UCF,Amer,36,24,103.8,92.1,0.7975,50.4,42.7,22.0,14.7,32.6,25.5,39.9,22.3,48.9,39.9,35.2,31.3,67.1,-1.8,,,2017
393,Jacksonville,ASun,29,17,100.3,111.2,0.2332,53.8,56.6,18.5,20.9,26.3,28.5,34.6,36.8,50.4,56.5,38.8,37.8,69.2,-11.8,,,2017
394,Kennesaw St.,ASun,30,14,100.9,109.3,0.2848,51.3,53.8,18.9,17.5,31.1,28.5,30.6,36.2,47.7,52.8,41.2,37.3,70.6,-13.0,,,2017
395,Lipscomb,ASun,30,20,106.3,106.3,0.4995,55.0,52.0,20.1,20.3,28.3,30.9,41.2,44.2,55.7,50.9,36.0,36.0,75.7,-8.1,,,2017
396,NJIT,ASun,29,11,98.0,109.3,0.2211,48.7,55.2,19.7,18.4,30.5,25.2,33.3,36.3,47.7,53.7,33.4,38.4,69.5,-14.6,,,2017
397,North Florida,ASun,30,15,100.7,108.6,0.2957,51.3,52.7,22.2,16.7,33.3,31.8,34.9,35.0,50.7,51.6,34.7,36.6,71.1,-12.1,,,2017
398,Stetson,ASun,29,11,99.3,114.2,0.1659,49.9,52.9,14.9,15.1,21.1,33.0,32.6,32.2,49.9,52.6,33.4,35.6,73.9,-16.3,,,2017
399,USC Upstate,ASun,29,17,102.1,111.5,0.2665,52.4,50.7,17.9,14.5,30.2,30.2,31.9,29.9,52.8,51.2,34.6,33.2,69.6,-10.5,,,2017
400,Illinois,B10,34,20,105.1,95.3,0.7555,50.6,49.9,18.3,18.5,28.6,26.3,32.5,30.1,48.5,49.6,36.1,33.7,68.1,-1.5,,,2017
401,Indiana,B10,34,18,115.4,99.9,0.8408,55.2,48.7,21.4,15.7,36.4,28.0,34.1,36.8,54.1,47.7,38.0,33.7,69.7,-1.1,,,2017
402,Iowa,B10,34,19,112.6,101.0,0.779,52.5,51.0,18.6,19.1,31.8,32.3,34.9,27.5,49.9,49.5,37.9,35.8,72.8,-1.8,,,2017
403,Nebraska,B10,30,12,104.6,98.4,0.6679999999999999,46.0,52.0,18.6,19.3,33.7,29.9,30.0,33.3,45.3,47.5,31.8,40.7,69.5,-5.4,,,2017
404,Ohio St.,B10,32,17,111.2,99.4,0.7844,52.2,48.9,19.2,17.5,29.7,28.8,38.1,29.4,51.6,45.7,35.6,35.6,69.4,-3.1,,,2017
405,Penn St.,B10,33,15,103.4,96.8,0.6811,47.2,49.2,17.9,20.3,26.6,30.6,32.8,31.2,45.4,46.5,33.9,36.3,72.1,-4.9,,,2017
406,Rutgers,B10,32,15,100.8,98.2,0.5757,44.7,47.5,19.7,18.9,37.5,30.1,31.2,31.2,44.5,46.6,30.2,32.7,67.9,-5.7,,,2017
407,Oklahoma,B12,31,11,107.0,94.5,0.8062,47.4,50.0,19.0,18.5,30.8,29.8,36.7,33.5,45.7,47.1,34.3,36.5,71.4,-4.5,,,2017
408,TCU,B12,38,24,114.0,97.1,0.8635,52.7,50.4,18.8,18.7,34.1,29.3,32.2,30.9,52.2,48.3,35.7,36.3,68.1,0.2,,,2017
409,Texas,B12,33,11,103.5,93.6,0.7608,48.8,48.1,19.6,18.3,28.4,31.2,34.5,30.0,51.3,47.7,29.2,32.5,69.0,-5.7,,,2017
410,Texas Tech,B12,32,18,111.3,96.7,0.8348,52.9,50.8,16.5,20.3,30.0,25.7,35.6,35.6,51.9,48.9,36.7,35.5,65.2,-1.1,,,2017
411,DePaul,BE,32,9,102.9,103.1,0.4937,48.1,53.8,20.4,20.0,29.9,30.0,35.6,40.2,47.7,53.6,32.6,36.1,69.1,-10.8,,,2017
412,Georgetown,BE,32,14,107.5,96.4,0.777,52.0,47.4,20.1,17.3,29.0,30.5,42.6,38.8,51.8,46.8,34.9,32.4,70.3,-4.6,,,2017
413,St. John's,BE,33,14,108.5,102.2,0.6651,50.3,52.4,17.7,20.5,27.4,32.8,36.2,39.3,47.5,50.5,36.4,37.4,74.5,-5.1,,,2017
414,Eastern Washington,BSky,32,22,108.6,110.0,0.4632,54.2,51.2,17.1,14.5,27.3,27.8,34.8,36.9,53.7,48.2,36.8,37.7,67.8,-5.8,,,2017
415,Idaho,BSky,31,19,101.3,105.3,0.3925,49.9,49.0,18.7,17.7,30.3,25.9,39.9,43.0,47.0,46.6,36.4,34.7,67.6,-9.3,,,2017
416,Idaho St.,BSky,30,6,97.6,114.3,0.1391,50.2,56.5,19.3,18.2,22.0,32.4,38.1,34.2,48.2,54.3,35.6,39.9,70.3,-20.1,,,2017
417,Montana,BSky,32,16,104.9,107.3,0.4375,51.2,52.0,15.6,18.2,28.0,26.8,33.0,44.4,49.9,52.1,35.7,34.5,68.2,-10.8,,,2017
418,Montana St.,BSky,30,16,101.8,108.2,0.3316,51.2,52.3,16.6,18.4,27.2,27.7,36.3,50.6,47.7,50.1,37.2,37.2,70.9,-12.2,,,2017
419,Northern Arizona,BSky,31,9,94.4,109.4,0.1556,46.7,52.9,20.4,16.7,31.3,26.9,33.2,32.8,46.1,54.2,31.7,33.9,70.9,-19.1,,,2017
420,Northern Colorado,BSky,27,11,97.2,105.4,0.2841,51.0,52.2,20.3,18.2,27.4,25.4,34.4,34.5,50.6,52.0,34.3,35.0,70.1,-12.6,,,2017
421,Portland St.,BSky,28,15,102.9,110.8,0.2979,52.5,56.0,16.1,22.2,25.7,31.3,38.1,36.8,53.9,56.2,33.4,37.2,73.6,-12.0,,,2017
422,Sacramento St.,BSky,29,13,100.1,111.4,0.2263,49.8,52.3,16.8,15.8,27.4,29.3,37.3,33.1,51.1,49.5,31.0,38.5,67.0,-13.8,,,2017
423,Southern Utah,BSky,31,6,100.5,118.5,0.1311,47.7,56.6,18.4,16.7,29.4,29.4,40.3,51.3,43.0,54.2,36.3,40.2,72.7,-22.9,,,2017
424,Weber St.,BSky,32,20,107.1,109.0,0.4495,56.0,50.6,16.9,16.5,21.4,30.3,42.9,29.5,53.0,49.8,40.3,35.2,68.0,-8.7,,,2017
425,Campbell,BSth,34,19,99.9,109.2,0.2656,51.4,50.7,18.7,17.3,24.2,28.9,36.6,38.7,50.2,49.9,35.6,34.7,67.0,-12.9,,,2017
426,Charleston Southern,BSth,28,12,102.2,116.1,0.1863,48.7,54.3,16.2,16.8,27.4,27.4,35.0,41.6,48.0,53.2,33.3,37.3,69.9,-13.8,,,2017
427,Gardner Webb,BSth,30,19,101.5,102.4,0.4744,52.1,49.0,20.4,20.4,30.8,28.6,44.7,40.8,50.3,46.8,37.6,35.5,72.3,-8.2,,,2017
428,High Point,BSth,28,15,98.2,107.9,0.2528,48.3,52.6,19.2,19.6,28.1,28.0,36.4,33.5,44.8,51.0,37.5,36.7,67.2,-11.4,,,2017
429,Liberty,BSth,32,21,98.1,102.8,0.3669,52.3,52.2,16.0,22.0,15.0,24.7,34.2,42.2,50.4,52.1,36.1,34.9,64.2,-8.2,,,2017
430,Longwood,BSth,28,6,91.2,117.5,0.0513,49.3,55.1,21.9,17.4,21.5,34.1,29.0,32.2,49.6,52.5,32.5,40.0,71.8,-19.5,,,2017
431,Presbyterian,BSth,28,5,87.2,118.2,0.0295,45.5,56.1,23.3,16.9,29.0,31.9,27.7,36.7,43.2,53.3,33.6,39.6,65.3,-20.5,,,2017
432,Radford,BSth,30,14,95.0,107.6,0.1926,47.5,51.2,22.4,15.1,33.8,26.9,29.5,30.0,44.6,49.9,34.6,35.9,65.6,-11.8,,,2017
433,UNC Asheville,BSth,31,23,104.9,101.9,0.5820000000000001,54.1,52.4,16.0,22.6,24.4,27.3,34.9,31.2,51.8,51.5,39.0,35.8,69.5,-3.5,,,2017
434,Cal Poly,BW,29,11,100.5,110.7,0.2478,47.3,52.6,16.1,17.7,25.6,30.3,29.4,41.1,45.1,50.0,33.5,39.8,66.4,-14.9,,,2017
435,Cal St. Fullerton,BW,30,17,97.1,103.1,0.3326,49.1,49.7,20.7,19.6,30.3,27.5,39.9,42.1,50.6,48.8,30.8,34.3,70.0,-11.0,,,2017
436,Cal St. Northridge,BW,28,11,103.3,114.4,0.2364,49.7,51.9,17.9,17.8,27.7,31.8,45.0,41.7,49.4,49.6,33.7,38.4,74.2,-13.1,,,2017
437,Hawaii,BW,29,14,96.6,103.6,0.311,48.5,50.8,20.3,20.3,28.0,28.9,36.9,38.3,48.6,50.9,32.1,33.8,68.6,-11.6,,,2017
438,Long Beach St.,BW,32,15,104.3,107.9,0.4042,48.7,53.1,19.9,18.6,31.6,33.0,36.2,37.7,47.0,51.3,35.1,37.9,71.1,-10.5,,,2017
439,UC Irvine,BW,34,21,102.1,98.4,0.6042,50.0,44.1,19.9,15.3,31.9,26.4,29.7,40.2,48.2,41.6,35.6,32.7,67.9,-7.4,,,2017
440,UC Riverside,BW,27,8,93.1,104.7,0.2053,45.7,49.8,19.9,19.1,26.0,29.9,30.0,34.1,44.9,47.9,31.6,35.1,69.0,-16.3,,,2017
441,UC Santa Barbara,BW,27,6,92.0,106.2,0.1597,42.1,52.5,18.3,17.6,30.8,29.6,28.8,32.3,41.7,53.2,28.5,34.4,66.1,-16.2,,,2017
442,College of Charleston,CAA,34,25,104.6,99.5,0.6418,49.4,48.0,15.9,18.6,25.4,28.9,42.7,31.9,49.1,48.9,33.2,31.1,65.7,-2.0,,,2017
443,Delaware,CAA,31,13,97.5,107.2,0.2504,46.8,53.2,17.9,15.2,27.1,27.5,32.2,40.0,47.8,51.6,30.0,37.0,66.4,-13.7,,,2017
444,Drexel,CAA,31,9,101.9,108.8,0.3184,49.9,53.1,18.5,17.4,30.4,30.5,31.6,39.9,48.5,52.6,34.9,36.0,71.9,-17.3,,,2017
445,Elon,CAA,30,18,102.9,101.4,0.5416,52.1,48.6,16.6,14.9,24.2,26.7,30.7,26.4,50.9,48.8,35.7,32.2,69.1,-7.8,,,2017
446,Hofstra,CAA,31,15,109.4,111.8,0.4368,51.7,53.1,15.2,15.4,31.1,29.6,37.7,29.3,49.6,52.0,36.4,36.9,69.0,-11.1,,,2017
447,James Madison,CAA,32,10,98.4,103.4,0.3606,50.2,51.1,21.4,17.6,29.1,25.5,36.1,38.5,50.3,50.6,33.3,34.6,65.4,-17.1,,,2017
448,Northeastern,CAA,31,15,105.2,106.5,0.4654,53.5,52.1,18.5,17.0,25.7,27.0,37.8,31.0,52.4,50.7,36.7,36.4,67.7,-8.9,,,2017
449,Towson,CAA,32,20,104.3,100.6,0.6034,48.3,49.0,18.7,18.7,37.0,26.1,45.6,47.1,49.2,47.4,30.6,34.3,69.3,-6.6,,,2017
